interval,quantity,weighted_price,price_change_int,period,group,block,format,price_change,ce_price,ce_quantity,cum_volume,%cumsum,price_deviation,block_1,block_2,block_3,block_4,block_5,group_id,format_num,price_deviation_log,price_change_log,log_wprice,change_log_wprice,ppi
17,41.58999999999999,7.799454452736492,0.003130447425084089,13,Flow609,4,Flow60,0.514726403938071,6,1200,1941.4999999999995,1.6179166666666662,1.7994544527364917,False,False,False,True,False,9,2,0.5874835371504838,-0.6641197739732484,2.054053789292633,0.06827368063760164,0.24443988846973919
18,8.370000000000005,10.890818858560785,0.029543847646355842,13,Flow609,4,Flow60,3.091364405824293,6,1200,1949.8699999999994,1.6248916666666662,4.890818858560785,False,False,False,True,False,9,2,1.5873597452060353,1.1286125487357501,2.38792012774155,0.3338663384489169,1.8166666666666667
19,67.53,7.391722884016229,-0.23431644691186676,13,Flow609,4,Flow60,-3.499095974544556,6,1200,2017.3999999999994,1.6811666666666663,1.3917228840162288,False,False,False,True,False,9,2,0.33054246451910896,1.2525046421447195,2.0003608450024983,-0.3875592827390517,0.2500000000000002
20,0.0,7.391722884016229,0.0,13,Flow609,4,Flow60,0.0,6,1200,2017.3999999999994,1.6811666666666663,1.3917228840162288,False,False,False,True,False,9,2,0.33054246451910896,-6.907755278982137,2.0003608450024983,0.0,0.2500000000000002
21,0.0,7.391722884016229,0.0,13,Flow609,4,Flow60,0.0,6,1200,2017.3999999999994,1.6811666666666663,1.3917228840162288,False,False,False,True,False,9,2,0.33054246451910896,-6.907755278982137,2.0003608450024983,0.0,0.2500000000000002
22,0.0,7.391722884016229,0.0,13,Flow609,4,Flow60,0.0,6,1200,2017.3999999999994,1.6811666666666663,1.3917228840162288,False,False,False,True,False,9,2,0.33054246451910896,-6.907755278982137,2.0003608450024983,0.0,0.2500000000000002
23,0.0,7.391722884016229,0.0,13,Flow609,4,Flow60,0.0,6,1200,2017.3999999999994,1.6811666666666663,1.3917228840162288,False,False,False,True,False,9,2,0.33054246451910896,-6.907755278982137,2.0003608450024983,0.0,0.2500000000000002
24,0.0,7.391722884016229,0.0,13,Flow609,4,Flow60,0.0,6,1200,2017.3999999999994,1.6811666666666663,1.3917228840162288,False,False,False,True,False,9,2,0.33054246451910896,-6.907755278982137,2.0003608450024983,0.0,0.2500000000000002
1,0.0,15.705882352941176,0.0,14,Flow609,4,Flow60,,6,1200,0.0,0.0,9.705882352941176,False,False,False,True,False,9,2,2.2727321298443646,,2.7540353143440335,,5.0
2,0.0,15.705882352941176,0.0,14,Flow609,4,Flow60,0.0,6,1200,0.0,0.0,9.705882352941176,False,False,False,True,False,9,2,2.2727321298443646,-6.907755278982137,2.7540353143440335,0.0,5.0
3,31.76,15.705882352941176,0.0,14,Flow609,4,Flow60,0.0,6,1200,31.76,0.02646666666666667,9.705882352941176,False,False,False,True,False,9,2,2.2727321298443646,-6.907755278982137,2.7540353143440335,0.0,1.1105664488017428
