id_in_group,direction,fill_quantity,profit,contract_price,contract_quantity,group_id,order_price,period,block,price_dev_from_contract,in_market_quantity,ce_price,format,time
6,sell,400.0,1400,5.0,400.0,2,8.181818181818182,9,3,3.1818181818181817,400.0,9,CDA,T1-T10
7,sell,397.0,1252,4.0,400.0,2,5.2592592592592595,9,3,1.2592592592592595,400.0,9,CDA,T1-T10
8,sell,281.0,281,8.0,300.0,2,9.0,9,3,1.0,300.0,9,CDA,T1-T10
1,buy,212.0,1696,16.0,300.0,2,7.425742574257426,10,3,8.574257425742573,300.0,9,CDA,T1-T10
2,buy,297.0,2376,15.0,400.0,2,7.555555555555555,10,3,7.444444444444445,400.0,9,CDA,T1-T10
3,buy,398.0,588,10.0,400.0,2,10.925925925925926,10,3,-0.9259259259259256,400.0,9,CDA,T1-T10
4,buy,400.0,2100,14.0,400.0,2,15.0,10,3,-1.0,400.0,9,CDA,T1-T10
5,sell,400.0,2009,3.0,400.0,2,8.9,10,3,5.9,400.0,9,CDA,T1-T10
6,sell,313.0,1052,5.0,400.0,2,6.50354609929078,10,3,1.50354609929078,400.0,9,CDA,T1-T10
7,sell,343.0,1210,4.0,400.0,2,6.317073170731708,10,3,2.3170731707317076,400.0,9,CDA,T1-T10
8,sell,251.0,251,8.0,300.0,2,9.0,10,3,1.0,300.0,9,CDA,T1-T10
1,buy,300.0,2201,16.0,300.0,2,6.4375,11,3,9.5625,300.0,9,CDA,T11-T20
2,buy,260.0,1894,15.0,400.0,2,6.255102040816326,11,3,8.744897959183675,400.0,9,CDA,T11-T20
3,buy,400.0,625,10.0,400.0,2,8.9,11,3,1.0999999999999996,400.0,9,CDA,T11-T20
